Column1,survey,event_id,latitude,longitude,lla,utm,x,y
107,201006,9,56.88067333,-163.598965,"LLA(lat=56.88067333°, lon=-163.598965°, alt=0.0)","UTM(585378.6919177874, 6.304977506165597e6, 0.0)",585.3786919177875,6304.977506165596
108,201006,12,55.4238,-163.64193833,"LLA(lat=55.4238°, lon=-163.64193833°, alt=0.0)","UTM(585952.293785434, 6.142791903345574e6, 0.0)",585.952293785434,6142.791903345574
109,201006,13,55.21473,-164.22586167,"LLA(lat=55.21473°, lon=-164.22586167°, alt=0.0)","UTM(549255.1551985388, 6.118960077693473e6, 0.0)",549.2551551985388,6118.960077693473
110,201006,14,56.13112833,-164.24036,"LLA(lat=56.13112833°, lon=-164.24036°, alt=0.0)","UTM(547216.0245767438, 6.220933866367458e6, 0.0)",547.2160245767438,6220.933866367458
111,201006,15,55.12643,-164.78989167,"LLA(lat=55.12643°, lon=-164.78989167°, alt=0.0)","UTM(513398.0160755914, 6.108880726335265e6, 0.0)",513.3980160755914,6108.880726335265
112,201006,16,54.85080167,-164.78566333,"LLA(lat=54.85080167°, lon=-164.78566333°, alt=0.0)","UTM(513761.6204964664, 6.078210031676778e6, 0.0)",513.7616204964664,6078.210031676777
113,201006,10,56.87464167,-163.62695667,"LLA(lat=56.87464167°, lon=-163.62695667°, alt=0.0)","UTM(583686.4960820467, 6.304271590831109e6, 0.0)",583.6864960820467,6304.271590831109
114,201006,11,56.87155333,-163.64100833,"LLA(lat=56.87155333°, lon=-163.64100833°, alt=0.0)","UTM(582836.9465114828, 6.303910754850038e6, 0.0)",582.8369465114828,6303.910754850039
12,201006,-13,56.67088,-160.96288,"LLA(lat=56.67088°, lon=-160.96288°, alt=0.0)","UTM(747326.1854430385, 6.2880359530764725e6, 0.0)",747.3261854430385,6288.035953076473
13,201006,-14,56.98043,-160.9652,"LLA(lat=56.98043°, lon=-160.9652°, alt=0.0)","UTM(745151.8384173259, 6.322449948817314e6, 0.0)",745.1518384173258,6322.449948817313
21,201006,-22,57.01417,-162.1687,"LLA(lat=57.01417°, lon=-162.1687°, alt=0.0)","UTM(671901.6121444837, 6.32252707853691e6, 0.0)",671.9016121444837,6322.52707853691
22,201006,-23,56.67515,-162.18938,"LLA(lat=56.67515°, lon=-162.18938°, alt=0.0)","UTM(672196.7299088303, 6.284756261726421e6, 0.0)",672.1967299088302,6284.756261726421
23,201006,-24,56.34735,-162.18957,"LLA(lat=56.34735°, lon=-162.18957°, alt=0.0)","UTM(673678.1865767499, 6.248286662862199e6, 0.0)",673.6781865767499,6248.2866628622
24,201006,-25,56.01248,-162.23047,"LLA(lat=56.01248°, lon=-162.23047°, alt=0.0)","UTM(672648.6717696565, 6.210929506423221e6, 0.0)",672.6486717696565,6210.929506423221
25,201006,-26,55.32478,-163.43092,"LLA(lat=55.32478°, lon=-163.43092°, alt=0.0)","UTM(599554.9813400734, 6.132054771884101e6, 0.0)",599.5549813400734,6132.054771884102
