year,variable,age,mean,std,cv,upper,lower
2010,biomass,9,7.621832983767216e7,8.120695265146738e6,0.10654517466391597,9.245972036796564e7,5.997693930737868e7
2010,biomass,10,3.279635843536941e7,5.575359449023643e6,0.16999934489711108,4.394707733341669e7,2.1645639537322126e7
2012,n,1,5.995437185367329e8,6.926920214548038e7,0.11553653220576005,7.380821228276937e8,4.610053142457721e8
2012,n,2,2.1446439948586915e9,1.1690524533325717e8,0.054510326941679635,2.3784544855252056e9,1.910833504192177e9
2012,n,3,1.6599986647531328e9,8.280358517290351e7,0.049881717938139225,1.82560583509894e9,1.4943914944073257e9
2012,n,4,2.8195961046715236e9,1.3085431968585497e8,0.04640888794996374,3.0813047440432334e9,2.5578874652998137e9
2012,n,5,2.5462045690263128e8,1.583384080107106e7,0.06218605132393599,2.862881385047734e8,2.2295277530048916e8
2012,n,6,3.554645439445854e8,2.9346377599305063e7,0.08255781933592785,4.141572991431955e8,2.9677178874597526e8
2012,n,7,9.92035378565427e7,9.589385906313412e6,0.0966637492322152,1.1838230966916953e8,8.002476604391588e7
2012,n,8,2.2158040501043405e7,3.4971442181427917e6,0.15782732313257183,2.9152328937328987e7,1.5163752064757822e7
2012,n,9,1.6255171147808488e7,2.736782961530541e6,0.16836383552316594,2.1728737070869572e7,1.0781605224747406e7
2012,n,10,3.6848503881361924e7,4.976021794057548e6,0.13503999538430198,4.680054746947702e7,2.6896460293246828e7
2012,biomass,1,1.2613785291314952e7,1.3880842633005686e6,0.11004502068513207,1.538995381791609e7,9.837616764713814e6
2012,biomass,2,2.0291450789661762e8,1.1166238981865361e7,0.05502927857457299,2.2524698586034834e8,1.805820299328869e8
2012,biomass,3,3.4769724583919084e8,1.7464192797871184e7,0.05022815971901121,3.826256314349332e8,3.127688602434485e8
2012,biomass,4,1.0817069311292007e9,5.099837963839731e7,0.047146207693390466,1.1837036904059954e9,9.79710171852406e8
2012,biomass,5,1.4389881600174972e8,9.566758130131548e6,0.06648253540887523,1.630323322620128e8,1.2476529974148662e8
2012,biomass,6,2.730337365689101e8,2.3858948496022344e7,0.08738461699219598,3.207516335609548e8,2.2531583957686543e8
2012,biomass,7,8.868905334586047e7,8.881191061773768e6,0.10013852585774943,1.06451435469408e8,7.092667122231293e7
2012,biomass,8,2.410360514680891e7,3.9104251705115396e6,0.16223403705355016,3.192445548783199e7,1.6282754805785831e7
2012,biomass,9,2.1578909510149073e7,3.7576341274571554e6,0.17413456994617132,2.9094177765063383e7,1.4063641255234763e7
2012,biomass,10,5.84188450051873e7,7.966141560932058e6,0.13636253096453216,7.435112812705141e7,4.2486561883323185e7
2014,n,1,8.303242605663073e9,8.653676357856125e8,0.10422044457612313,1.0033977877234297e10,6.572507334091847e9
2014,n,2,8.530189921958645e9,9.881170330932397e8,0.11583763575411166,1.0506423988145124e10,6.553955855772165e9
2014,n,3,1.419425380503266e9,1.5378396677154163e8,0.10834241016390489,1.7269933140463493e9,1.111857446960183e9
2014,n,4,1.2313450752389412e9,6.263584696223155e7,0.050867825942355865,1.3566167691634042e9,1.1060733813144782e9
2014,n,5,1.2158593590788302e9,5.720841306077592e7,0.047051834271456074,1.330276185200382e9,1.1014425329572785e9
2014,n,6,1.5149179710597608e9,7.212249605359189e7,0.04760818567829029,1.6591629631669445e9,1.370672978952577e9
2014,n,7,5.1636640079958934e8,3.088705878814226e7,0.059816166854221905,5.781405183758738e8,4.545922832233048e8
2014,n,8,1.1639188870369701e8,1.0606912364876058e7,0.09113102711030366,1.3760571343344912e8,9.51780639739449e7
2014,n,9,3.7447507780907296e7,5.171813300482083e6,0.1381083443720905,4.779113438187146e7,2.710388117994313e7
2014,n,10,2.8029612321990196e7,4.669236221985281e6,0.16658226194309883,3.736808476596076e7,1.869113987801963e7
2014,biomass,1,2.091174645528933e8,2.1243769823768772e7,0.10158773619979244,2.5160500420043087e8,1.6662992490535575e8
2014,biomass,2,1.1391262759915452e9,1.3609363924319625e8,0.11947195153999446,1.4113135544779377e9,8.669389975051527e8
2014,biomass,3,3.008879012058798e8,2.9691483220774367e7,0.09867955175923887,3.602708676474285e8,2.4150493476433107e8
2014,biomass,4,5.077301142798262e8,2.5655133811307415e7,0.05052907655023994,5.59040381902441e8,4.564198466572114e8
2014,biomass,5,7.047719440846798e8,3.412928944671216e7,0.04842600465748882,7.730305229781041e8,6.365133651912556e8
2014,biomass,6,1.1041522747706616e9,5.29358941162801e7,0.04794256673272278,1.2100240630032218e9,9.982804865381014e8
2014,biomass,7,4.219919256816129e8,2.6570415440910418e7,0.06296427448935937,4.7513275656343377e8,3.6885109479979205e8
2014,biomass,8,1.2844590582125594e8,1.2259245726885082e7,0.09544286871973115,1.529643972750261e8,1.0392741436748578e8
2014,biomass,9,4.738442512035669e7,6.849608062765158e6,0.14455399733914925,6.1083641245887004e7,3.368520899482637e7
2014,biomass,10,4.823022269790017e7,8.150471660938595e6,0.16899096054336585,6.453116601977736e7,3.192927937602298e7
2016,n,1,7.921849475403476e7,1.0671811773667313e7,0.13471363987415041,1.0056211830136938e8,5.787487120670013e7
2016,n,2,1.029984861152488e9,1.5313139705818078e8,0.14867344446872396,1.3362476552688496e9,7.237220670361264e8
2016,n,3,4.381851343369804e9,3.730110325324712e8,0.08512635489035372,5.127873408434747e9,3.635829278304862e9
2016,n,4,3.9879541538519335e9,2.0875954270001584e8,0.05234752824286524,4.4054732392519655e9,3.570435068451902e9
2016,n,5,5.322273032163233e8,2.8717093417194977e7,0.0539564453827408,5.896614900507133e8,4.7479311638193333e8
2016,n,6,2.2314070199665654e8,1.3913714278210407e7,0.062353995276123515,2.5096813055307734e8,1.9531327344023573e8
2016,n,7,2.2588814998465818e8,1.4102440971171958e7,0.062431079151915515,2.540930319270021e8,1.9768326804231426e8
2016,n,8,2.418732220719366e8,1.3866431551392071e7,0.05732933738017511,2.6960608517472076e8,2.1414035896915245e8
2016,n,9,5.267502501706283e7,4.807427885323295e6,0.09126579216177008,6.2289880787709415e7,4.306016924641624e7
2016,n,10,1.9108959611936864e7,2.7005441645393088e6,0.14132345346799258,2.4510047941015482e7,1.3707871282858245e7
2016,biomass,1,2.5328856118090693e6,320582.73044639855,0.12656818332093092,3.1740510727018663e6,1.8917201509162723e6
2016,biomass,2,1.472686847582356e8,2.5026371943254903e7,0.16993681979532563,1.973214286447454e8,9.72159408717258e7
2016,biomass,3,1.3066523351277854e9,1.1172414557316405e8,0.08550411044284237,1.5301006262741137e9,1.0832040439814572e9
2016,biomass,4,2.0358166083202317e9,1.3462204830697098e8,0.06612680521260149,2.3050607049341736e9,1.7665725117062898e9
2016,biomass,5,2.941765999680942e8,1.814626216485268e7,0.0616849272403746,3.304691242977996e8,2.5788407563838887e8
2016,biomass,6,1.444272842171513e8,9.197108794252586e6,0.06367985691972454,1.628215018056565e8,1.2603306662864614e8
2016,biomass,7,1.908433511977225e8,1.2585731273055598e7,0.06594796828953292,2.160148137438337e8,1.656718886516113e8
2016,biomass,8,1.7931109904664627e8,1.0939907293446047e7,0.06101076481941658,2.0119091363353837e8,1.5743128445975417e8
2016,biomass,9,4.67677417219279e7,4.516510541742169e6,0.09657320143009003,5.580076280541224e7,3.773472063844357e7
2016,biomass,10,2.450934062553036e7,3.5315382023814153e6,0.14408948230548313,3.157241703029319e7,1.7446264220767528e7
2018,n,1,4.062657052226084e8,7.612195401012757e7,0.18736987402965127,5.585096132428635e8,2.5402179720235324e8
2018,n,2,2.783948167418663e8,3.407280238069835e7,0.12239021824997336,3.46540421503263e8,2.1024921198046958e8
2018,n,3,1.4378633948738128e8,1.1188797290438166e7,0.07781544011988772,1.661639340682576e8,1.2140874490650494e8
2018,n,4,5.042200989281145e8,2.4903258942082785e7,0.049389659386888475,5.5402661681228e8,4.544135810439489e8
2018,n,5,1.9594648820704415e9,8.872135438542935e7,0.045278359003649585,2.1369075908413002e9,1.7820221732995827e9
2018,n,6,7.94919426326692e8,3.613251139674289e7,0.04545430668830243,8.671844491201777e8,7.226544035332062e8
2018,n,7,1.4687626840064433e8,7.7999561206462765e6,0.05310562560978067,1.624761806419369e8,1.3127635615935178e8
2018,n,8,7.512872918913245e7,4.908893802805018e6,0.06533976889782266,8.49465167947425e7,6.531094158352242e7
