transect,interval,lat,lon,class,nasc,x,y
1,20180608165224,56.371067,-160.9792236,PK1,680.794148,748.2802182397141,6254.6380730264555
1,20180608165447,56.3627028,-160.979908,PK1,865.888425,748.2924073595395,6253.705519789642
1,20180608165710,56.3544102,-160.9806585,PK1,297.246282,748.3000260324676,6252.780690068315
1,20180608165932,56.3460562,-160.9814498,PK1,293.128199,748.3054991244271,6251.848885954176
1,20180608170154,56.3377277,-160.9820953,PK1,306.601363,748.3197849099732,6250.920444355377
1,20180608170417,56.3294439,-160.9827121,PK1,401.299205,748.3355304830751,6249.997077372877
1,20180608170642,56.321062,-160.9835845,PK1,61.695085,748.3360978609606,6249.0618794755
1,20180608170904,56.3127783,-160.984591,PK1,586.877631,748.3277103446644,6248.137117645255
1,20180608171128,56.3044217,-160.9854422,PK1,626.748174,748.3293642560602,6247.204810746463
1,20180608171350,56.2960878,-160.9859633,PK1,322.053088,748.3512530975197,6246.276220073228
1,20180608171614,56.2877243,-160.9862533,PK1,139.619669,748.3876071271419,6245.345172586947
1,20180608171835,56.279407,-160.9863536,PK1,244.375446,748.4353827726192,6244.419947721793
1,20180608172059,56.2710385,-160.9864728,PK1,92.849702,748.4823132906461,6243.488961875777
1,20180608172323,56.2627279,-160.9868413,PK1,185.061145,748.5134314736745,6242.5635147639005
1,20180608172548,56.2544099,-160.9876604,PK1,121.405205,748.516690678237,6241.635618349438
1,20180608172814,56.2460821,-160.9883753,PK1,21.8775,748.5264373850365,6240.707008900432
1,20180608173041,56.2377223,-160.9889142,PK1,1.750581,748.5472659756017,6239.775476973508
1,20180608173306,56.2293934,-160.9894706,PK1,172.406019,748.5667904500901,6238.8473183039205
1,20180608173530,56.2210788,-160.9900838,PK1,100.259385,748.582683035019,6237.920545152229
2,20180608193436,55.9978793,-161.5954985,PK1,61.912517,712.2961623890542,6211.074920782289
2,20180608193735,56.0062339,-161.5955662,PK1,475.900015,712.2461134337159,6212.003942002869
2,20180608194013,56.0145398,-161.5947251,PK1,33.881134,712.2529499790605,6212.9303407545385
2,20180608194240,56.0228669,-161.5941779,PK1,65.935424,712.241336173405,6213.858194777995
2,20180608194506,56.0311923,-161.5935468,PK1,167.234367,712.2349374460886,6214.786118344023
2,20180608194733,56.0395356,-161.5928189,PK1,15.415023,712.2344459573056,6215.716331156724
2,20180608195000,56.0478518,-161.5920444,PK1,1.299607,712.236980026778,6216.643673858088
