specimen_id,species_code,event_id,organism_weight,fork_length
25101,21740,117,1.09,54.0
25102,21740,117,0.582,46.0
25103,21740,117,0.722,48.0
25104,21740,117,0.864,50.0
25105,21740,117,0.708,47.0
25106,21740,117,0.656,45.0
25107,21740,117,1.036,54.0
25108,21740,117,0.804,50.0
25109,21740,117,0.706,48.0
25110,21740,117,0.624,45.0
25111,21740,117,0.606,45.0
25112,21740,117,0.812,49.0
25113,21740,117,1.054,55.0
25969,21740,119,0.408,39.0
25970,21740,119,0.398,41.0
25971,21740,119,0.664,47.0
25972,21740,119,0.436,40.0
25973,21740,119,0.55,43.0
25974,21740,119,0.58,41.0
25975,21740,119,0.76,50.0
25976,21740,119,0.646,48.0
25977,21740,119,0.344,37.0
25978,21740,119,0.508,44.0
25979,21740,119,0.482,42.0
25980,21740,119,0.532,44.0
25981,21740,119,0.312,34.0
25982,21740,119,0.872,49.0
25983,21740,119,0.594,43.0
25984,21740,119,0.628,46.0
25985,21740,119,0.49,44.0
25986,21740,119,0.552,42.0
25987,21740,119,0.494,45.0
25988,21740,119,0.458,40.0
25989,21740,119,0.33,36.0
26012,21740,119,0.034,18.0
26013,21740,119,0.042,19.0
26018,21740,119,0.022,15.0
26019,21740,119,0.024,16.0
26020,21740,119,0.074,22.0
28052,21740,129,0.848,52.0
28053,21740,129,0.66,45.0
28054,21740,129,0.744,47.0
28055,21740,129,0.888,46.0
28056,21740,129,1.09,56.0
28057,21740,129,0.738,47.0
28058,21740,129,0.634,46.0
28059,21740,129,0.7,48.0
28060,21740,129,0.85,51.0
28061,21740,129,0.764,49.0
28062,21740,129,0.72,49.0
28063,21740,129,0.736,49.0
28064,21740,129,0.684,45.0
28097,21740,129,0.65,45.0
28098,21740,129,0.44,42.0
28099,21740,129,0.844,51.0
28100,21740,129,0.572,43.0
28101,21740,129,0.646,46.0
25114,21740,117,0.81,49.0
25115,21740,117,1.152,58.0
25116,21740,117,0.782,51.0
25117,21740,117,0.83,52.0
25118,21740,117,0.886,49.0
25119,21740,117,1.0,52.0
25120,21740,117,0.826,48.0
25121,21740,117,1.102,57.0
25122,21740,117,0.86,49.0
25123,21740,117,0.794,47.0
25124,21740,117,0.656,46.0
25125,21740,117,0.8,49.0
25126,21740,117,0.87,50.0
25127,21740,117,0.63,48.0
25128,21740,117,0.602,49.0
25129,21740,117,1.08,55.0
25130,21740,117,0.648,47.0
26021,21740,119,0.024,16.0
26022,21740,119,0.026,16.0
26023,21740,119,0.058,21.0
26024,21740,119,0.078,22.0
26025,21740,119,0.022,15.0
26026,21740,119,0.02,15.0
26027,21740,119,0.026,16.0
26028,21740,119,0.018,14.0
26029,21740,119,0.024,16.0
26030,21740,119,0.022,14.0
26031,21740,119,0.018,14.0
26032,21740,119,0.02,15.0
26033,21740,119,0.022,15.0
26034,21740,119,0.016,14.0
26035,21740,119,0.014,14.0
26036,21740,119,0.016,13.0
25208,21740,118,0.286,34.0
25209,21740,118,0.356,37.0
25210,21740,118,0.586,44.0
25211,21740,118,0.558,46.0
25212,21740,118,0.654,50.0
25213,21740,118,0.506,41.0
25214,21740,118,0.588,42.0
25215,21740,118,0.656,46.0
25216,21740,118,0.718,50.0
25217,21740,118,0.808,50.0
25218,21740,118,0.426,39.0
25219,21740,118,0.61,44.0
25220,21740,118,0.64,44.0
25221,21740,118,1.01,52.0
25222,21740,118,0.492,40.0
26121,21740,120,0.458,41.0
26122,21740,120,0.406,38.0
26123,21740,120,0.51,41.0
26124,21740,120,0.514,40.0
26125,21740,120,0.828,48.0
26126,21740,120,0.468,40.0
26127,21740,120,0.516,41.0
26128,21740,120,0.646,45.0
26129,21740,120,0.642,45.0
26130,21740,120,0.44,39.0
26131,21740,120,0.524,41.0
26132,21740,120,0.44,40.0
26133,21740,120,0.462,39.0
26134,21740,120,0.47,41.0
26135,21740,120,0.498,40.0
27331,21740,127,0.57,45.0
27332,21740,127,0.5,41.0
27333,21740,127,0.664,46.0
27334,21740,127,0.648,46.0
