column1,survey,event_id,eqlongitude,eqlatitude,lla,utm,x,y,edsu_idx
65,200909,83,-179.92141667,61.26663333,"LLA(lat=61.26663333°, lon=-179.92141667°, alt=0.0)","UTM(-295330.2229605068, 6.884054732349472e6, 0.0)",-295.3302229605068,6884.054732349472,3440
66,200909,84,-179.72604167,60.79977,"LLA(lat=60.79977°, lon=-179.72604167°, alt=0.0)","UTM(-296788.32742605323, 6.830599855237357e6, 0.0)",-296.78832742605323,6830.599855237358,3269
67,200909,85,179.472605,61.03381833,"LLA(lat=61.03381833°, lon=179.472605°, alt=0.0)","UTM(-333381.3976459198, 6.866249453785965e6, 0.0)",-333.38139764591983,6866.249453785966,3446
68,200909,86,179.485165,61.02107167,"LLA(lat=61.02107167°, lon=179.485165°, alt=0.0)","UTM(-333054.30652230734, 6.86469643675495e6, 0.0)",-333.05430652230734,6864.69643675495,2814
69,200909,87,178.270765,62.05795333,"LLA(lat=62.05795333°, lon=178.270765°, alt=0.0)","UTM(-367483.1016980532, 6.993671803756838e6, 0.0)",-367.4831016980532,6993.671803756838,3845
70,200909,88,-177.41044167,60.14983167,"LLA(lat=60.14983167°, lon=-177.41044167°, alt=0.0)","UTM(-186345.32583228627, 6.732947923937995e6, 0.0)",-186.34532583228628,6732.947923937995,2422
71,200909,29,-167.600135,55.60808333,"LLA(lat=55.60808333°, lon=-167.600135°, alt=0.0)","UTM(336218.3738225083, 6.165529235151749e6, 0.0)",336.21837382250834,6165.529235151749,29
72,200909,30,-167.60070167,55.61477667,"LLA(lat=55.61477667°, lon=-167.60070167°, alt=0.0)","UTM(336210.59949962667, 6.166275198153142e6, 0.0)",336.21059949962665,6166.275198153142,140
73,200909,31,-167.692865,56.61780667,"LLA(lat=56.61780667°, lon=-167.692865°, alt=0.0)","UTM(334764.89525242697, 6.278086570044443e6, 0.0)",334.764895252427,6278.086570044443,816
74,200909,32,-167.764565,57.475695,"LLA(lat=57.475695°, lon=-167.764565°, alt=0.0)","UTM(334234.29167786025, 6.37371306983674e6, 0.0)",334.23429167786026,6373.71306983674,1133
75,200909,33,-167.76957667,57.46949167,"LLA(lat=57.46949167°, lon=-167.76957667°, alt=0.0)","UTM(333905.73325337225, 6.373035074138983e6, 0.0)",333.90573325337226,6373.035074138983,1132
76,200909,34,-167.771755,57.465925,"LLA(lat=57.465925°, lon=-167.771755°, alt=0.0)","UTM(333758.9408718199, 6.372643543686441e6, 0.0)",333.7589408718199,6372.643543686441,1132
77,200909,35,-168.20675833,55.62230333,"LLA(lat=55.62230333°, lon=-168.20675833°, alt=0.0)","UTM(298093.58357421635, 6.168709566582541e6, 0.0)",298.0935835742163,6168.709566582541,163
78,200909,36,-168.19505167,55.41226833,"LLA(lat=55.41226833°, lon=-168.19505167°, alt=0.0)","UTM(297755.43647854566, 6.145314127252358e6, 0.0)",297.7554364785457,6145.314127252358,188
79,200909,37,-168.8122,55.73616667,"LLA(lat=55.73616667°, lon=-168.8122°, alt=0.0)","UTM(260688.89530879728, 6.18329994093994e6, 0.0)",260.68889530879727,6183.29994093994,10
80,200909,90,-177.15854833,60.169225,"LLA(lat=60.169225°, lon=-177.15854833°, alt=0.0)","UTM(-172125.03313550237, 6.732472401883429e6, 0.0)",-172.12503313550238,6732.472401883429,3545
81,200909,91,-177.17138167,60.15037167,"LLA(lat=60.15037167°, lon=-177.17138167°, alt=0.0)","UTM(-173217.22080238746, 6.730528675054707e6, 0.0)",-173.21722080238746,6730.528675054707,2959
82,200909,92,-176.84366167,60.009425,"LLA(lat=60.009425°, lon=-176.84366167°, alt=0.0)","UTM(-158047.84683241998, 6.711683865592848e6, 0.0)",-158.04784683242,6711.683865592848,2979
83,200909,93,-175.60148,59.49443833,"LLA(lat=59.49443833°, lon=-175.60148°, alt=0.0)","UTM(-98650.93901014735, 6.643035693936465e6, 0.0)",-98.65093901014735,6643.035693936466,2583
84,200909,94,-172.82579167,57.754625,"LLA(lat=57.754625°, lon=-172.82579167°, alt=0.0)","UTM(34890.21426295611, 6.428322987158391e6, 0.0)",34.890214262956114,6428.322987158391,1361
85,200909,89,-177.40633333,60.108515,"LLA(lat=60.108515°, lon=-177.40633333°, alt=0.0)","UTM(-186987.16452684172, 6.728358845640774e6, 0.0)",-186.98716452684172,6728.358845640774,2417
86,200909,38,-168.91100167,56.57006167,"LLA(lat=56.57006167°, lon=-168.91100167°, alt=0.0)","UTM(259755.30468931998, 6.27637613948658e6, 0.0)",259.75530468932,6276.3761394865805,751
87,200909,39,-168.99979833,57.51105833,"LLA(lat=57.51105833°, lon=-168.99979833°, alt=0.0)","UTM(260443.51092428537, 6.381334445402508e6, 0.0)",260.44351092428536,6381.334445402507,1141
88,200909,40,-169.002995,57.51131167,"LLA(lat=57.51131167°, lon=-169.002995°, alt=0.0)","UTM(260253.85053929518, 6.38137390798343e6, 0.0)",260.2538505392952,6381.3739079834295,1141
89,200909,41,-170.09235333,56.32576667,"LLA(lat=56.32576667°, lon=-170.09235333°, alt=0.0)","UTM(185237.6600002976, 6.253990594950005e6, 0.0)",185.23766000029758,6253.990594950005,842
90,200909,42,-170.75395833,56.61610833,"LLA(lat=56.61610833°, lon=-170.75395833°, alt=0.0)","UTM(147102.70998525072, 6.289470458061571e6, 0.0)",147.10270998525073,6289.470458061572,804
91,200909,43,-170.80551833,56.908165,"LLA(lat=56.908165°, lon=-170.80551833°, alt=0.0)","UTM(146703.65178304422, 6.322179586617853e6, 0.0)",146.70365178304422,6322.179586617853,1074
92,200909,44,-170.86422667,57.244225,"LLA(lat=57.244225°, lon=-170.86422667°, alt=0.0)","UTM(146354.21771457815, 6.359813582849409e6, 0.0)",146.35421771457814,6359.81358284941,1118
93,200909,45,-170.94319833,57.72335167,"LLA(lat=57.72335167°, lon=-170.94319833°, alt=0.0)","UTM(146270.38545544894, 6.41344372110615e6, 0.0)",146.27038545544895,6413.44372110615,1175
94,200909,95,-170.76155333,56.64490667,"LLA(lat=56.64490667°, lon=-170.76155333°, alt=0.0)","UTM(146907.09210265987, 6.292708700505596e6, 0.0)",146.90709210265987,6292.7087005055955,676
95,200909,19,-165.762765,54.58904,"LLA(lat=54.58904°, lon=-165.762765°, alt=0.0)","UTM(450710.08676372515, 6.049329167510601e6, 0.0)",450.71008676372514,6049.329167510601,281
